# generated_at: 2026-05-15T12:15:02Z, dataset_version: v202605151210, source: internetinmyanmar.com/data
asn,isp_name,started_at,ended_at,duration_minutes,min_visibility_pct,resolved
AS150153,AWSCL-AS-AP A W S MYANMAR COMPANY LIMITED,2026-04-09T00:31:42Z,2026-04-09T01:01:24Z,29,0.0,True
AS137826,ASTCL-AS-AP AST SYSTEM TECHNOLOGY COMPANY LIMITED,2026-04-09T01:31:49Z,2026-04-09T02:01:23Z,29,0.0,True
AS9988,MPT-AP Myanma Posts and Telecommunications,2026-04-09T01:40:29Z,2026-04-09T01:45:08Z,4,0.0,True
AS151783,ERU-AS-AP EASTERN ROYAL UNICOM ERU TECHNOLOGY COMPANY LIMITED,2026-04-09T02:01:54Z,2026-04-09T02:31:43Z,29,0.0,True
AS149810,ACL-AS-AP AnyNet,2026-04-09T02:02:46Z,2026-04-09T02:32:08Z,29,0.0,True
AS152634,WCCCOMPANYLIMITED-AS-AP Goal Link ISP,2026-04-09T03:31:29Z,2026-04-09T04:01:08Z,29,0.0,True
AS136613,AYEYARWADYBANK-AS-AP Ayeyarwady Bank,2026-04-09T04:02:37Z,2026-04-09T04:32:25Z,29,0.0,True
AS153777,MMC-AS-AP Mandalar Mandalay Company Limited,2026-04-09T06:02:05Z,2026-04-09T06:31:41Z,29,0.0,True
AS136465,INFORMATIONTECHNOLOGYCYBERSECURITY-AS-AP Dept. of Information Technology & Cyber Security,2026-04-09T09:31:48Z,2026-04-09T10:02:30Z,30,0.0,True
AS141236,MCDC-AS-AP Mandalay City Development Committee,2026-04-09T09:32:33Z,2026-04-09T10:04:08Z,31,0.0,True
AS132148,HTI-AS-AP HORIZON TELECOM INTERNATIONAL COMPANY LIMITED,2026-04-09T10:01:34Z,2026-04-09T10:31:22Z,29,0.0,True
AS133385,ATOMMYANMAR-AS-AP Atom Myanmar Limited,2026-04-09T10:02:24Z,2026-04-09T10:32:08Z,29,0.0,True
